vaccine,target_organism,iso3_country,introduction_year,life_expectancy_pre_window_mean,life_expectancy_post_window_mean,life_expectancy_change_post_minus_pre,resistance_rate_pre_window_mean,resistance_rate_post_window_mean,resistance_rate_change_post_minus_pre,n_amr_years_pre_window,n_amr_years_post_window,resistance_window_status,pre_window_years,post_window_years,estimation_method,version,date_added
HIB,Haemophilus influenzae,NZL,2000,77.98780487804879,79.51544715447154,1.5276422764227533,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,PAK,2008,63.715500000000006,64.89033333333333,1.174833333333325,,,,0,0,no_amr_surveillance_in_either_window,2006 to 2007,2011 to 2013,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,PAN,2000,72.9545,74.85733333333333,1.9028333333333336,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,PHL,2010,68.637,69.348,0.7109999999999985,,,,0,0,no_amr_surveillance_in_either_window,2008 to 2009,2013 to 2015,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,PRT,2000,75.83780487804879,77.65365853658538,1.8158536585365965,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,ROU,2010,72.93780487804878,74.9617886178862,2.023983739837419,,,,0,1,no_amr_surveillance_in_pre_window,2008 to 2009,2013 to 2015,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,RUS,2022,70.61951219512196,,,,,,0,0,no_amr_surveillance_in_either_window,2020 to 2021,2025 to 2027,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,SAU,2002,72.779,74.74266666666666,1.9636666666666684,,,,0,0,no_amr_surveillance_in_either_window,2000 to 2001,2005 to 2007,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,SGP,2013,81.86951219512196,83.079674796748,1.2101626016260383,,,,0,2,no_amr_surveillance_in_pre_window,2011 to 2012,2016 to 2018,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,SRB,2006,72.75853658536586,74.28617886178863,1.5276422764227675,,,,0,0,no_amr_surveillance_in_either_window,2004 to 2005,2009 to 2011,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,SVK,2000,72.72682926829269,73.82276422764228,1.0959349593495915,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,SVN,2000,74.90853658536587,77.22601626016261,2.3174796747967434,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,SWE,2000,79.39024390243904,80.37967479674798,0.9894308943089385,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,THA,2019,77.0895,76.089,-1.0005000000000024,,,,0,0,no_amr_surveillance_in_either_window,2017 to 2018,2022 to 2024,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,TUN,2011,74.37899999999999,74.88866666666667,0.5096666666666749,,,,0,1,no_amr_surveillance_in_pre_window,2009 to 2010,2014 to 2016,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,TUR,2006,73.3665,74.822,1.4555000000000007,,,,0,0,no_amr_surveillance_in_either_window,2004 to 2005,2009 to 2011,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,UKR,2006,67.49449999999999,70.01933333333334,2.5248333333333477,,,,0,0,no_amr_surveillance_in_either_window,2004 to 2005,2009 to 2011,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,USA,2000,76.58170731707318,77.33739837398373,0.7556910569105497,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,VNM,2010,73.49000000000001,73.88733333333333,0.39733333333332155,,,,0,0,no_amr_surveillance_in_either_window,2008 to 2009,2013 to 2015,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,ZAF,2000,59.551,54.040666666666674,-5.510333333333328,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,ARE,2007,80.967,81.899,0.9320000000000022,,,,0,0,no_amr_surveillance_in_either_window,2005 to 2006,2010 to 2012,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,ARG,2012,75.89,76.416,0.5259999999999962,,,,0,3,no_amr_surveillance_in_pre_window,2010 to 2011,2015 to 2017,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,AUS,2005,80.36463414634147,81.54471544715449,1.1800813008130149,,,,0,0,no_amr_surveillance_in_either_window,2003 to 2004,2008 to 2010,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,BEL,2006,78.92926829268293,80.26747967479675,1.338211382113812,,,,0,0,no_amr_surveillance_in_either_window,2004 to 2005,2009 to 2011,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,BGR,2010,73.18780487804878,74.64715447154471,1.4593495934959293,,,,0,2,no_amr_surveillance_in_pre_window,2008 to 2009,2013 to 2015,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,BRA,2010,73.28399999999999,74.84599999999999,1.5619999999999976,,,,0,0,no_amr_surveillance_in_either_window,2008 to 2009,2013 to 2015,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,CAN,2002,79.28243902439026,80.40000000000002,1.1175609756097629,,,,0,0,no_amr_surveillance_in_either_window,2000 to 2001,2005 to 2007,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,CHE,2006,81.16219512195124,82.32845528455285,1.1662601626016027,,,,0,0,no_amr_surveillance_in_either_window,2004 to 2005,2009 to 2011,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,CHL,2011,78.9925,80.00566666666667,1.0131666666666632,,,,0,2,no_amr_surveillance_in_pre_window,2009 to 2010,2014 to 2016,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,COL,2009,73.9785,75.79833333333333,1.8198333333333352,,,,0,0,no_amr_surveillance_in_either_window,2007 to 2008,2012 to 2014,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,CRI,2008,79.0735,79.91266666666665,0.8391666666666566,,,,0,0,no_amr_surveillance_in_either_window,2006 to 2007,2011 to 2013,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,DEU,2006,78.80609756097562,80.08699186991872,1.280894308943104,,,,0,0,no_amr_surveillance_in_either_window,2004 to 2005,2009 to 2011,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,ECU,2010,74.805,76.065,1.259999999999991,,,,0,0,no_amr_surveillance_in_either_window,2008 to 2009,2013 to 2015,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,ESP,2015,83.15365853658537,83.16504065040652,0.011382113821156281,,,,0,3,no_amr_surveillance_in_pre_window,2013 to 2014,2018 to 2020,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,FRA,2006,80.16341463414635,81.73089430894309,1.5674796747967434,,,,0,0,no_amr_surveillance_in_either_window,2004 to 2005,2009 to 2011,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,GBR,2006,78.89756097560976,80.46829268292682,1.5707317073170515,,,,0,0,no_amr_surveillance_in_either_window,2004 to 2005,2009 to 2011,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,GHA,2012,61.456999999999994,63.50866666666667,2.0516666666666765,,,,0,1,no_amr_surveillance_in_pre_window,2010 to 2011,2015 to 2017,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,GRC,2006,79.1390243902439,80.43577235772358,1.296747967479675,,,,0,0,no_amr_surveillance_in_either_window,2004 to 2005,2009 to 2011,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,HRV,2019,77.82317073170734,78.3260162601626,0.5028455284552678,,,,0,0,no_amr_surveillance_in_either_window,2017 to 2018,2022 to 2024,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,HUN,2009,73.42682926829269,75.46422764227641,2.03739837398372,,,,0,0,no_amr_surveillance_in_either_window,2007 to 2008,2012 to 2014,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,IND,2017,69.5175,69.71199999999999,0.1944999999999908,,,,0,2,no_amr_surveillance_in_pre_window,2015 to 2016,2020 to 2022,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,IRL,2008,79.44146341463414,80.84715447154473,1.4056910569105838,,,,0,0,no_amr_surveillance_in_either_window,2006 to 2007,2011 to 2013,descriptive_before_after_not_causal_did,v1,2026-07-08
