canonical_organism,canonical_drug,drug_class,iso3_country,parsed_year,specimen_source,n_isolates_in_stratum,n_tested,n_susceptible,n_intermediate,n_resistant,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Candida glabrata,Fluconazole,Triazole,USA,2019,Bronchoalveolar lavage/wash,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2019,GI tract/bowel,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2019,Other,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2019,Peritoneal fluid,2,2,0,2,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2019,Plueral fluid,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2019,Sputum,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2019,Tracheal aspirate,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2019,Urine/Urinary tract,2,2,0,2,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2020,Abscess (pus),2,2,0,2,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2020,Blood culture,79,79,0,73,6,1.0,0.0,0.0,0.0,0.0,False,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2020,Bone/Joint culture,2,2,0,2,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2020,Bronchoalveolar lavage/wash,2,2,0,2,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2020,Other,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2020,Plueral fluid,6,6,0,6,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2020,Tissue,6,6,0,6,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2020,Unknown,10,10,0,9,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
