canonical_organism,canonical_drug,drug_class,dosing_variant,iso3_country,parsed_year,body_site,n_isolates_in_stratum,n_tested,n_resistant,n_intermediate,n_susceptible,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CZE,2015,Respiratory: Sinuses,17,17,1,0,16,1.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CZE,2015,Respiratory: Sputum,77,77,13,0,64,1.0,0.16883116883116883,0.16883116883116883,0.0,0.16883116883116883,False,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2018,HEENT: Middle ear,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2018,Respiratory: Sputum,5,5,1,0,4,1.0,0.2,0.2,0.0,0.2,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2019,HEENT: Middle ear,5,5,0,0,5,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2019,Respiratory: Bronchoalveolar lavage,5,5,2,0,3,1.0,0.4,0.4,0.0,0.4,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2019,Respiratory: Endotracheal aspirate,11,11,4,0,7,1.0,0.36363636363636365,0.36363636363636365,0.0,0.36363636363636365,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2019,Respiratory: Other,2,2,0,0,2,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2019,Respiratory: Sputum,61,61,13,0,48,1.0,0.21311475409836064,0.21311475409836064,0.0,0.21311475409836064,False,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2020,CVS: Blood,7,7,0,0,7,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2020,HEENT: Middle ear,9,9,2,0,7,1.0,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2020,Respiratory: Bronchoalveolar lavage,13,13,3,0,10,1.0,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2020,Respiratory: Endotracheal aspirate,9,9,1,0,8,1.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2020,Respiratory: Other,2,2,0,0,2,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2020,Respiratory: Sinuses,16,16,2,0,14,1.0,0.125,0.125,0.0,0.125,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2020,Respiratory: Sputum,76,76,15,0,61,1.0,0.19736842105263158,0.19736842105263158,0.0,0.19736842105263158,False,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2020,Unknown,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2021,CVS: Blood,2,2,0,0,2,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2021,Respiratory: Bronchoalveolar lavage,6,6,1,0,5,1.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2021,Respiratory: Endotracheal aspirate,15,15,1,0,14,1.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2021,Respiratory: Sinuses,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ESP,2021,Respiratory: Sputum,28,28,8,0,20,1.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,GRC,2014,Respiratory: Bronchoalveolar lavage,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,GRC,2014,Respiratory: Sputum,20,20,3,0,17,1.0,0.15,0.15,0.0,0.15,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,GRC,2015,Respiratory: Bronchoalveolar lavage,2,2,0,0,2,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,GRC,2015,Respiratory: Sputum,29,29,5,0,24,1.0,0.1724137931034483,0.1724137931034483,0.0,0.1724137931034483,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,HRV,2014,HEENT: Middle ear,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,HRV,2014,Respiratory: Bronchoalveolar lavage,2,2,0,0,2,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,HRV,2014,Respiratory: Endotracheal aspirate,2,2,0,0,2,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,HRV,2014,Respiratory: Other,7,7,0,0,7,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,HRV,2015,HEENT: Middle ear,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,HRV,2015,Respiratory: Bronchoalveolar lavage,27,27,2,0,25,1.0,0.07407407407407407,0.07407407407407407,0.0,0.07407407407407407,True,v1,2026-07-08
